All/275_Left Index 1_Bend_16,0,,Left Index 1,,,16,,,
All/276_Left Index 1_Bend_33,0,,Left Index 1,,,33,,,
All/277_Left Index 2_Bend_12,0,,Left Index 2,,,12,,,
All/278_Left Index 2_Bend_N105_JCM,0,,Left Index 2,,,-105,,,
All/279_Left Index 2_Bend_N90_JCM,0,,Left Index 2,,,-90,,,
All/280_Left Index 2_Bend_N75_JCM,0,,Left Index 2,,,-75,,,
All/281_Left Index 2_Bend_N60_JCM,0,,Left Index 2,,,-60,,,
All/282_Left Index 2_Bend_N45_JCM,0,,Left Index 2,,,-45,,,
All/283_Left Index 2_Bend_N30_JCM,0,,Left Index 2,,,-30,,,
All/284_Left Index 2_Bend_N16_JCM,0,,Left Index 2,,,-16,,,
All/285_Left Index 2_Bend_N2_JCM,0,,Left Index 2,,,-2,,,
All/286_Left Index 3_Bend_20,0,,Left Index 3,,,20,,,
All/287_Left Index 3_Bend_N90_JCM,0,,Left Index 3,,,-90,,,
All/288_Left Index 3_Bend_N76_JCM,0,,Left Index 3,,,-76,,,
All/289_Left Index 3_Bend_N62_JCM,0,,Left Index 3,,,-62,,,
All/290_Left Index 3_Bend_N48_JCM,0,,Left Index 3,,,-48,,,
All/291_Left Index 3_Bend_N34_JCM,0,,Left Index 3,,,-34,,,
All/292_Left Index 3_Bend_N20_JCM,0,,Left Index 3,,,-20,,,
All/293_Left Index 3_Bend_N6_JCM,0,,Left Index 3,,,-6,,,
All/294_Left Index 3_Bend_7,0,,Left Index 3,,,7,,,
All/295_Left Carpal 2_Side_2,0,,Left Carpal 2,,2,,,,
All/296_Left Carpal 2_Side_N2,0,,Left Carpal 2,,-2,,,,
All/297_Left Carpal 2_Bend_4,0,,Left Carpal 2,,,4,,,
All/298_Left Carpal 2_Bend_N4,0,,Left Carpal 2,,,-4,,,
All/299_Left Mid 1_Twist_5,0,,Left Mid 1,5,,,,,
All/300_Left Mid 1_Twist_N5,0,,Left Mid 1,-5,,,,,
All/301_Left Mid 1_Side_12,0,,Left Mid 1,,12,,,,
All/302_Left Mid 1_Side_N12,0,,Left Mid 1,,-12,,,,
All/303_Left Mid 1_Bend_50,0,,Left Mid 1,,,50,,,
All/304_Left Mid 1_Bend_N95_JCM,0,,Left Mid 1,,,-95,,,
All/305_Left Mid 1_Bend_N76_JCM,0,,Left Mid 1,,,-76,,,
All/306_Left Mid 1_Bend_N58_JCM,0,,Left Mid 1,,,-58,,,
All/307_Left Mid 1_Bend_N40_JCM,0,,Left Mid 1,,,-40,,,
All/308_Left Mid 1_Bend_N22_JCM,0,,Left Mid 1,,,-22,,,
All/309_Left Mid 1_Bend_N4_JCM,0,,Left Mid 1,,,-4,,,
All/310_Left Mid 1_Bend_14,0,,Left Mid 1,,,14,,,
All/311_Left Mid 1_Bend_32,0,,Left Mid 1,,,32,,,
All/312_Left Mid 2_Bend_12,0,,Left Mid 2,,,12,,,
